,Unnamed: 0,Navio,IMO,Bordo,Sentido,Agencia,Operador,Produto,Data_Chegada,Ano,Mes
0,0,SHAMAL,9391476,BB,Imp,LACHMANN,PETROBRAS TRANSPORTE S.A - TRANSPETRO,OLEO DIESEL,2025-09-12 16:00:00,2025,9
1,1,PALENA,9306196,BB,Imp/Exp,ROCHAMAR,TCP (GS1),CONTÊINERES (CONTENTORES) INCL,2025-09-12 11:54:00,2025,9
2,2,MAERSK LA PAZ,9526899,BB,Imp/Exp,LACHMANN,TCP (SCN),CONTÊINERES (CONTENTORES) INCL,2025-09-12 09:30:00,2025,9
3,3,MSC MELINE,9702077,BB,Imp/Exp,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,TCP (WME),CONTÊINERES (CONTENTORES) INCL,2025-09-11 19:00:00,2025,9
4,4,MAJORCA,9294109,BE,Exp,CARGONAVE,TIBAGI,MILHO,2025-09-10 14:00:00,2025,9
5,5,PAG,9440514,BB,Imp,WILSON SONS,CATTALINI,GASOLINAS,2025-09-10 07:00:00,2025,9
6,6,HIGH ADVENTURER,9788435,BE,Imp,GAC LOGISTICA DO BRASIL,TERIN,OLEO DIESEL,2025-09-09 16:36:00,2025,9
7,7,PUMA MAX,9589152,BB,Exp,WILSON SONS,TIBAGI,FARELO DE SOJA,2025-09-08 08:50:00,2025,9
8,8,NEWPORT,9966843,BB,Exp,CARGILL AGRICOLA,TIBAGI,MILHO,2025-08-20 09:12:00,2025,8
9,9,CAPTAIN MIKE,9296846,BB,Exp,CARGONAVE,CEU AZUL,MILHO,2025-08-30 07:10:00,2025,8
10,10,LADY ZANDAVI,9573969,BB,Exp,WILLIAMS,PORTO PONTA DO FELIX S/A,OUTS.ACUCARES,2025-08-29 15:20:00,2025,8
11,11,AGIA FOTINI,9544164,BE,Imp,FORTENAVE,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,CLORETOS DE POTASSIO,2025-08-14 02:20:00,2025,8
12,12,AGIA FOTINI,9544164,BE,Imp,FORTENAVE,HARBOR,CLORETOS DE POTASSIO,2025-08-14 02:20:00,2025,8
13,13,VALERIO,9244037,BE,Exp,FORTENAVE,FORTEPAR OPERAÇÕES PORTUÁRIAS S.A.,AÇÚCAR,2025-08-13 03:30:00,2025,8
14,14,MERLIN,9604847,BE,Imp,AGENCIA MARITIMA NAABSA,FORTESOLO,UREIA,2025-08-03 15:30:00,2025,8
15,15,MERLIN,9604847,BE,Imp,AGENCIA MARITIMA NAABSA,HARBOR,UREIA,2025-08-03 15:30:00,2025,8
16,16,PAN CERES,9582465,BB,Imp,ZPORT,FORTESOLO,SULFATO DE AMONIO,2025-07-31 04:30:00,2025,7
17,17,PAN CERES,9582465,BB,Imp,ZPORT,HARBOR,SULFATO DE AMONIO,2025-07-31 04:30:00,2025,7
